"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 08:10:11 GMT 2024","Wed May 01 08:10:12 GMT 2024","623","chromium","","","","","has title",""
"passed","Wed May 01 08:10:12 GMT 2024","Wed May 01 08:10:12 GMT 2024","167","chromium","","","","","get Text",""
