"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 07:27:51 GMT 2024","Wed May 01 07:27:51 GMT 2024","411","chromium","","","","","has title",""
"failed","Wed May 01 07:28:02 GMT 2024","Wed May 01 07:28:08 GMT 2024","5266","chromium","","","","","get Text",""
